"network","mutualism","obs_mod","std_mod","p"
"AE_Bluthgen_etal_2004_bin","AE",0.303672,-2.24833565244793,0.97
"AE_Rico-Gray_benito_bin","AE",0.36687,-0.0596982007688756,0.46
"AE_Rico-Gray_mancha_bin","AE",0.465825,2.54047503533571,0
"AE_Rico-Gray_xalapa_bin","AE",0.745562,2.67451413596234,0
"AE_Rico-Gray_zapo_bin","AE",0.45536,3.23859726458361,0
"AM_Davidson_etal_1989_bin","AM",0.778393,2.1326177798627,0.01
"AM_Fonseca&Ganade_1996_bin","AM",0.674074,2.1808582658006,0.03
"AM_Izzo_mtcCOLpen_bin","AM",0.693878,2.17137171986482,0
"AM_Izzo_mtcDIM100_bin","AM",0.77686,1.84741427015155,0.03
"AM_Izzo_mtcFLO_bin","AM",0.685121,1.55761424297623,0.08
"AM_Izzo_mtcPA10_bin","AM",0.790123,2.19367830042589,0
"AM_Izzo_mtcPAcamp_bin","AM",0.78125,1.98456245788133,0.02
"AM_Izzo_mtcPOW_bin","AM",0.777778,1.84847457923324,0.04
"CC_Johnson&Ruben_1988_bin","CC",0.360983,0.583106731513192,0.23
"CC_Sazima_bin","CC",0.25896,-1.44407562614831,0.95
"CC_Wicksten_1998_bin","CC",0.301769,-0.849372088099179,0.79
"FA_Ricciardi_etal_2010_Bahowo_bin","FA",0.44,0.349633771742318,0.33
"FA_Ricciardi_etal_2010_Bualo_bin","FA",0.4375,0.742326831301171,0.2
"FA_Ricciardi_etal_2010_Fukui_bin","FA",0.333333,0.0566287144567935,0.39
"FA_Ricciardi_etal_2010_JalanMasuk_bin","FA",0.367347,0.286838014794979,0.29
"FA_Ricciardi_etal_2010_Kasegaran_bin","FA",0.408163,0.555172663892763,0.2
"FA_Ricciardi_etal_2010_Likuan1_bin","FA",0.387755,0.528921882257071,0.2
"FA_Ricciardi_etal_2010_Mandolin_bin","FA",0.555556,1.40026438551731,0.09
"FA_Ricciardi_etal_2010_Mike_bin","FA",0.387755,0.439636346107175,0.25
"FA_Ricciardi_etal_2010_Sachiko_bin","FA",0.472222,1.08502470309761,0.17
"FA_Ricciardi_etal_2010_TanjungKopi_bin","FA",0.484375,0.571050648404818,0.24
"FA_Ricciardi_etal_2010_TanjungPisok_bin","FA",0.469388,0.48322469563214,0.24
"FP_Baird_1980_bin","FP",0.3248,-0.144069264583319,0.52
"FP_Beehler_1983_bin","FP",0.222371,-0.833063468388472,0.82
"FP_Carlo_etal_2003_Caguana_bin","FP",0.397491,-0.970682943935747,0.84
"FP_Carlo_etal_2003_Cialitos_bin","FP",0.399557,-1.29021865505447,0.9
"FP_Carlo_etal_2003_Cordillera_bin","FP",0.536027,0.771528178622507,0.22
"FP_Carlo_etal_2003_Fronton_bin","FP",0.468281,0.0285391591558788,0.47
"FP_Crome_1975_bin","FP",0.334051,-1.19536170070315,0.91
"FP_Donatti_etal_2011_bin","FP",0.414966,3.81236506464634,0
"FP_Galetti&Pizo_1996_bin","FP",0.381779,-0.748376766703688,0.74
"FP_Jordano_1985_bin","FP",0.236186,1.20991521252438,0.09
"FP_Kantak_1979_bin","FP",0.182396,0.375883589680173,0.32
"FP_Lambert_1989_bin","FP",0.204128,1.20174423384536,0.1
"FP_Mack&Wright_1996_bin","FP",0.647383,0.550656885047113,0.23
"FP_Poulin_etal_1999_Mic_bin","FP",0.352617,0.637333344718465,0.28
"FP_Poulin_etal_1999_Psc_bin","FP",0.254895,-1.11065654031724,0.89
"FP_Schleuning_etal_2011_bin","FP",0.308577,-0.78892384790584,0.78
"FP_Sorensen_1981_bin","FP",0.258264,0.120254390515769,0.38
"PP_Arroyo_etal_1982_1_bin","PP",0.520238,1.31840793671126,0.1
"PP_Arroyo_etal_1982_2_bin","PP",0.530977,1.73083903576798,0.05
"PP_Arroyo_etal_1982_3_bin","PP",0.592288,1.22965465556445,0.12
"PP_Barrett&Helenurm_1987_bin","PP",0.486464,-0.0952579689282207,0.52
"PP_Bezerra_etal_2009_bin","PP",0.230113,-0.584725233699507,0.68
"PP_Dicks_etal_2002_HI_bin","PP",0.399465,-0.9780155644666,0.81
"PP_Dicks_etal_2002_SH_bin","PP",0.432249,-0.503092295401869,0.69
"PP_Dupont_etal_2003_bin","PP",0.357601,-0.032448565428048,0.45
"PP_Elberling&Olesen_1999_bin","PP",0.503313,0.476003069617951,0.29
"PP_Hocking_1968_bin","PP",0.477825,-1.17405211515246,0.89
"PP_Inouye&Pike_1988_bin","PP",0.428217,-1.20506736254829,0.88
"PP_Kaiser-Bunbury_etal_2009_bin","PP",0.300888,-3.55291538893261,1
"PP_Medan_etal_2002_LD_bin","PP",0.621571,1.80241931532868,0.06
"PP_Medan_etal_2002_RB_bin","PP",0.576192,0.446446910506876,0.33
"PP_Mosquin&Martin_1967_bin","PP",0.478532,0.356116672448315,0.37
"PP_Olesen_etal_2002_Aigrettes_bin","PP",0.340237,-0.194774271092955,0.58
"PP_Olesen_etal_2002_Flores_bin","PP",0.444444,0.341347491885624,0.33
"PP_Ollerton_etal_2003_bin","PP",0.433406,-0.0219789244508683,0.5
"PP_Primack_1983_bin","PP",0.560417,1.67948214461516,0.06
"PP_Ramirez&Brito_1992_bin","PP",0.584463,0.375805048945859,0.33
"PP_Santos_etal_2010_bin","PP",0.3241,-2.85159714159215,1
"PP_Schemske_etal_1978_bin","PP",0.35716,-0.575075669552753,0.7
"PP_Small_1976_bin","PP",0.258287,-1.00944956473641,0.84
"PP_Vazquez_etal_2002_ArroyoGoye_bin","PP",0.53867,-0.0606273020873771,0.5
"PP_Vazquez_etal_2002_CerroLopez_bin","PP",0.618765,1.36831163150401,0.08
"PP_Vazquez_etal_2002_LlaoLlao_bin","PP",0.575964,0.706257829230741,0.23
"PP_Vazquez_etal_2002_Mascardi(c)_bin","PP",0.537809,0.282680552854421,0.33
"PP_Vazquez_etal_2002_Quetrihue(c)_bin","PP",0.496605,1.15224493117235,0.12
